"","time.min","Time.min","Q.S153.CO2","Q.S102.Pres.kPa","Temp.A.C","Q.S102.O2.kPa","Q.G265.Potential.V","Q.G265.Flow.mL.min","S129.V.V","Q.S102.O2.Pcor","S129.CH4.ppm","Sin","Square","Mode","channel","bit0","bit1","bit2","ManualCh","Manbit0","Manbit1","Manbit2","Graybit0","Graybit1","Graybit2","Mangray0","Mangray1","Mangray2","FlagEv","FlagRef","FlagCycle","SampleTime.min","NoEventPts","CycleNo","NoDwellPts","CO2Event","CO2RefEvent","CO2Ref","difCO2","O2Event","O2RefEvent","O2Ref.ppm","difO2","CH4Event.ppm","CH4RefEvent.ppm","CH4Ref.ppm","difCH4.ppm","TempEvent.A.C","VCO2.uL.h","VO2.uL.h","RQ","VCO2Event.uL.h","VO2Event.uL.h","RQEvent","Flag1","Flag2","Flag3","Flag4","Flag5","Flag6","Flag7","Flag8","VCO2.1.uL.h","VO2.1.uL.h","RQ.1","difCH4.1.ppm","VCO2.2.uL.h","VO2.2.uL.h","RQ.2","difCH4.2.ppm","VCO2.3.uL.h","VO2.3.uL.h","RQ.3","difCH4.3.ppm","VCO2.4.uL.h","VO2.4.uL.h","RQ.4","difCH4.4.ppm","VCO2.5.uL.h","VO2.5.uL.h","RQ.5","difCH4.5.ppm","VCO2.6.uL.h","VO2.6.uL.h","RQ.6","difCH4.6.ppm","VCO2.7.uL.h","VO2.7.uL.h","RQ.7","difCH4.7.ppm","VCO2.8.uL.h","VO2.8.uL.h","RQ.8","difCH4.8.ppm","CH4.cal","CH4.V","smoothAveVO2","smoothSGVO2","CC","SourceFile","channel","ID","Mass","Cumulative"
"1",1,0,0.0621024627686,79.3736632919,24.1606519946,16.5133231506,1.27220153809,222.906378765,1.34963989258,20.8045370035,4.57872883637,0.13052619222,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"./data-raw/AZ_21_APR_2018.csv","./data-raw/AZ_21_APR_2018.csv 1","Ref21Apr",0,1
"2",2,0.166666666667,0.0605747909546,79.3726681595,24.1577500846,16.5133231506,1.27220153809,222.906378765,1.35475158691,20.8047978398,4.7700577781,0.258819045102,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,0.166666666667,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666666667,"./data-raw/AZ_21_APR_2018.csv","./data-raw/AZ_21_APR_2018.csv 1","Ref21Apr",0,1
"3",3,0.333333333333,0.0592508087158,79.3731657257,24.1345343395,16.513737793,1.27220153809,222.906378765,1.36283874512,20.805189817,5.07263467855,0.382683432365,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,0.166666666666,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666666666,"./data-raw/AZ_21_APR_2018.csv","./data-raw/AZ_21_APR_2018.csv 1","Ref21Apr",0,1
"4",4,0.5,0.0578249816895,79.3721705933,24.120024076,16.5120792236,1.27220153809,222.906378765,1.35375976563,20.8033610523,4.73297506057,0.5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,0.166666666667,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666666667,"./data-raw/AZ_21_APR_2018.csv","./data-raw/AZ_21_APR_2018.csv 1","Ref21Apr",0,1
"5",5,0.666666666667,0.0575194473267,79.371673027,24.117121984,16.5158110046,1.27227783203,222.926169054,1.34796142578,20.8081931182,4.51603728253,0.608761429009,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,0.166666666667,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666666667,"./data-raw/AZ_21_APR_2018.csv","./data-raw/AZ_21_APR_2018.csv 1","Ref21Apr",0,1
"6",6,0.833333333333,0.0568065338135,79.371673027,24.1185730316,16.5182988586,1.27227783203,222.926169054,1.35841369629,20.8113275538,4.90714965588,0.707106781187,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,0.166666666666,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666666666,"./data-raw/AZ_21_APR_2018.csv","./data-raw/AZ_21_APR_2018.csv 1","Ref21Apr",0,1
"7",7,1,0.0556862411499,79.371673027,24.120024076,16.5170549316,1.27235412598,222.945959803,1.36489868164,20.809760336,5.14981061734,0.793353340293,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,0.166666666667,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666666667,"./data-raw/AZ_21_APR_2018.csv","./data-raw/AZ_21_APR_2018.csv 1","Ref21Apr",0,1
"8",8,1.16666666667,0.0554825515747,79.371673027,24.1301812948,16.51498172,1.27258300781,223.005334788,1.3655090332,20.8071483064,5.17264929598,0.866025403783,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,0.16666666667,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16666666667,"./data-raw/AZ_21_APR_2018.csv","./data-raw/AZ_21_APR_2018.csv 1","Ref21Apr",0,1
"9",9,1.33333333333,0.0557880859375,79.3711754608,24.1330833279,16.518713501,1.27227783203,222.926169054,1.3752746582,20.8119804263,5.53810287301,0.923879532511,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,0.16666666666,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16666666666,"./data-raw/AZ_21_APR_2018.csv","./data-raw/AZ_21_APR_2018.csv 1","Ref21Apr",0,1
"10",10,1.5,0.0555843963623,79.3721705933,24.143240341,16.5241038513,1.27235412598,222.945959803,1.37603759766,20.8185107296,5.56658160849,0.96592582629,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,0.16666666667,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16666666667,"./data-raw/AZ_21_APR_2018.csv","./data-raw/AZ_21_APR_2018.csv 1","Ref21Apr",0,1
