"","time.min","Q.S153.CO2","Q.S102.Pres.kPa","Temp.C","Q.S102.O2.kPa","Q.G265.Potential.V","Q.G265.Flow.mL.min","S129.V.V","Q.S102.O2.Pcor","S129.CH4.ppm","Sin","Square","Mode","channel","bit0","bit1","bit2","ManualCh","Manbit0","Manbit1","Manbit2","Graybit0","Graybit1","Graybit2","Mangray0","Mangray1","Mangray2","FlagEv","FlagRef","FlagCycle","SampleTime.min","NoEventPts","CycleNo","NoDwellPts","CO2Event","CO2RefEvent","CO2Ref","difCO2","O2Event","O2RefEvent","O2Ref.ppm","difO2","CH4Event.ppm","CH4RefEvent.ppm","CH4Ref.ppm","difCH4.ppm","TempEvent.C","VCO2.uL.h","VO2.uL.h","RQ","VCO2Event.uL.h","VO2Event.uL.h","RQEvent","Flag1","Flag2","Flag3","Flag4","Flag5","Flag6","Flag7","Flag8","VCO2.1.uL.h","VO2.1.uL.h","RQ.1","difCH4.1.ppm","VCO2.2.uL.h","VO2.2.uL.h","RQ.2","difCH4.2.ppm","VCO2.3.uL.h","VO2.3.uL.h","RQ.3","difCH4.3.ppm","VCO2.4.uL.h","VO2.4.uL.h","RQ.4","difCH4.4.ppm","VCO2.5.uL.h","VO2.5.uL.h","RQ.5","difCH4.5.ppm","VCO2.6.uL.h","VO2.6.uL.h","RQ.6","difCH4.6.ppm","VCO2.7.uL.h","VO2.7.uL.h","RQ.7","difCH4.7.ppm","VCO2.8.uL.h","VO2.8.uL.h","RQ.8","difCH4.8.ppm","CH4.cal","CH4.V","smoothAveVO2","smoothSGVO2","CC","SourceFile"
"1","time",NA,NA,NA,NA,NA,NA,NA,"O2",NA,NA,NA,NA,"channel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"./data-raw/23-apr-orig.csv"
"2","0",0.433530403,79.42441505,23.61919902,16.17248715,1.195831299,203.3270934,1.323852539,"20.3621105",3.611509645,0.130526192,1,0,"1",0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"./data-raw/23-apr-orig.csv"
"3","0.166666667",0.452473534,79.42491261,23.62210371,16.12936435,1.19468689,203.0372286,1.325683594,"20.30768914",3.67995713,0.258819045,1,0,"1",0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,0.166666667,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666667,"./data-raw/23-apr-orig.csv"
"4","0.333333333",0.432715645,79.42391748,23.6133896,16.18078,1.194534302,202.9985879,1.323699951,"20.3726793",3.605826356,0.382683432,1,0,"1",0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,0.166666667,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666667,"./data-raw/23-apr-orig.csv"
"5","0.5",0.407356293,79.42192722,23.6075801,16.21851245,1.19430542,202.9406303,1.325683594,"20.42069869",3.680095456,0.5,1,0,"1",0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,0.166666667,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666667,"./data-raw/23-apr-orig.csv"
"6","0.666666667",0.30327092,79.42391748,23.60467533,16.20607318,1.193618774,202.7667828,1.333389282,"20.4045251",3.96815189,0.608761429,1,0,"1",0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,0.166666667,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666667,"./data-raw/23-apr-orig.csv"
"7","0.833333333",0.153151703,79.42093208,23.58869876,16.43205325,1.19354248,202.7474688,1.334152222,"20.68982675",3.996831692,0.707106781,1,0,"1",0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,0.166666667,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666667,"./data-raw/23-apr-orig.csv"
"8","1",0.086239677,79.41695155,23.58724632,16.54483597,1.193466187,202.7281552,1.326675415,"20.83287717",3.717417716,0.79335334,1,0,"1",0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,0.166666667,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666667,"./data-raw/23-apr-orig.csv"
"9","1.166666667",0.070250046,79.41993695,23.60177054,16.57220236,1.193466187,202.7281552,1.334152222,"20.8665519",3.996881773,0.866025404,1,0,"1",0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,0.166666667,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666667,"./data-raw/23-apr-orig.csv"
"10","1.333333333",0.064037514,79.41695155,23.60612772,16.57676343,1.193389893,202.7088421,1.334381104,"20.87307949",4.005591643,0.923879533,1,0,"1",0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,0.166666667,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666667,"./data-raw/23-apr-orig.csv"
