CumulativeChannelNumber,ID,Channel,Mass,SourceFile,SourceFileChannel
1,Ref21Apr,1,0,./data-raw/AZ_21_APR_2018.csv,./data-raw/AZ_21_APR_2018.csv 1
2,Rusty2,2,34,./data-raw/AZ_21_APR_2018.csv,./data-raw/AZ_21_APR_2018.csv 2
3,Rusty3,3,31,./data-raw/AZ_21_APR_2018.csv,./data-raw/AZ_21_APR_2018.csv 3
4,Rusty4,4,37,./data-raw/AZ_21_APR_2018.csv,./data-raw/AZ_21_APR_2018.csv 4
5,Rusty5,5,35,./data-raw/AZ_21_APR_2018.csv,./data-raw/AZ_21_APR_2018.csv 5
6,Rusty6,6,39,./data-raw/AZ_21_APR_2018.csv,./data-raw/AZ_21_APR_2018.csv 6
7,Rusty7,7,33,./data-raw/AZ_21_APR_2018.csv,./data-raw/AZ_21_APR_2018.csv 7
8,Ref22Apr,1,0,./data-raw/AZ_22_APR_2018.csv,./data-raw/AZ_22_APR_2018.csv 1
9,Rusty8,2,37,./data-raw/AZ_22_APR_2018.csv,./data-raw/AZ_22_APR_2018.csv 2
10,Rusty9,3,38,./data-raw/AZ_22_APR_2018.csv,./data-raw/AZ_22_APR_2018.csv 3
11,Rusty10,4,34,./data-raw/AZ_22_APR_2018.csv,./data-raw/AZ_22_APR_2018.csv 4
12,Rusty11,5,30,./data-raw/AZ_22_APR_2018.csv,./data-raw/AZ_22_APR_2018.csv 5
13,Rusty12,6,30,./data-raw/AZ_22_APR_2018.csv,./data-raw/AZ_22_APR_2018.csv 6
14,Rusty13,7,32,./data-raw/AZ_22_APR_2018.csv,./data-raw/AZ_22_APR_2018.csv 7
15,Rusty14,8,34,./data-raw/AZ_22_APR_2018.csv,./data-raw/AZ_22_APR_2018.csv 8
16,Ref23Apr,1,0,./data-raw/AZ_23_APR_2018.csv,./data-raw/AZ_23_APR_2018.csv 1
17,Rusty16,2,32,./data-raw/AZ_23_APR_2018.csv,./data-raw/AZ_23_APR_2018.csv 2
18,Rusty17,3,31,./data-raw/AZ_23_APR_2018.csv,./data-raw/AZ_23_APR_2018.csv 3
19,Rusty18,4,40,./data-raw/AZ_23_APR_2018.csv,./data-raw/AZ_23_APR_2018.csv 4
20,Rusty19,5,31,./data-raw/AZ_23_APR_2018.csv,./data-raw/AZ_23_APR_2018.csv 5
21,Rusty20,6,30,./data-raw/AZ_23_APR_2018.csv,./data-raw/AZ_23_APR_2018.csv 6
22,Rusty21,7,30,./data-raw/AZ_23_APR_2018.csv,./data-raw/AZ_23_APR_2018.csv 7
23,Rusty22,8,39,./data-raw/AZ_23_APR_2018.csv,./data-raw/AZ_23_APR_2018.csv 8
